S9026
     1.000000    0.000000
     0.990021    0.000557
     0.970641    0.002108
     0.947606    0.004101
     0.923399    0.006111
     0.898878    0.008134
     0.874302    0.010181
     0.849733    0.012246
     0.825174    0.014341
     0.800581    0.016450
     0.775963    0.018560
     0.751354    0.020669
     0.726794    0.022761
     0.702285    0.024809
     0.677796    0.026806
     0.653312    0.028747
     0.628828    0.030632
     0.604366    0.032461
     0.579929    0.034212
     0.555483    0.035891
     0.531049    0.037496
     0.506643    0.039016
     0.482264    0.040438
     0.457889    0.041759
     0.433542    0.042971
     0.409206    0.044067
     0.384909    0.045038
     0.360650    0.045866
     0.336410    0.046547
     0.312259    0.047065
     0.288192    0.047380
     0.264181    0.047478
     0.240260    0.047340
     0.216477    0.046936
     0.192875    0.046218
     0.169470    0.045137
     0.146347    0.043650
     0.123638    0.041683
     0.101505    0.039155
     0.080290    0.035998
     0.060647    0.032192
     0.043657    0.027914
     0.030331    0.023581
     0.020653    0.019575
     0.013769    0.015999
     0.008810    0.012775
     0.005197    0.009783
     0.002611    0.006912
     0.000918    0.004089
     0.000096    0.001318
     0.000098   -0.001332
     0.000923   -0.004105
     0.002614   -0.006932
     0.005197   -0.009810
     0.008807   -0.012809
     0.013763   -0.016035
     0.020645   -0.019608
     0.030321   -0.023607
     0.043647   -0.027933
     0.060642   -0.032206
     0.080290   -0.036007
     0.101511   -0.039161
     0.123646   -0.041687
     0.146359   -0.043651
     0.169485   -0.045137
     0.192892   -0.046216
     0.216495   -0.046934
     0.240279   -0.047338
     0.264200   -0.047475
     0.288211   -0.047378
     0.312279   -0.047062
     0.336430   -0.046545
     0.360670   -0.045864
     0.384930   -0.045036
     0.409226   -0.044065
     0.433562   -0.042969
     0.457909   -0.041757
     0.482284   -0.040436
     0.506663   -0.039015
     0.531069   -0.037495
     0.555502   -0.035890
     0.579949   -0.034211
     0.604385   -0.032460
     0.628848   -0.030631
     0.653332   -0.028745
     0.677815   -0.026804
     0.702304   -0.024808
     0.726813   -0.022759
     0.751373   -0.020668
     0.775983   -0.018558
     0.800600   -0.016448
     0.825192   -0.014339
     0.849751   -0.012245
     0.874320   -0.010179
     0.898896   -0.008132
     0.923417   -0.006110
     0.947622   -0.004100
     0.970653   -0.002106
     0.990024   -0.000557
     1.000000    0.000000
